Id,ModuleId,Name,Abbreviation,Active
1,2,Toiletten Smaland,toi       ,1
2,2,Baby verschoonruimte,bab       ,1
3,2,Toiletten dames klanten,dam       ,1
4,2,Was- en kleedruimte keukenpersoneel,waskleed  ,1
5,2,Toiletten heren klanten,her       ,1
6,2,Toiletten minder validen,miv       ,1
7,2,Toiletten dames personeel,toildamper,1
8,2,Keukenvloer productielijn,keu       ,1
10,2,Smaland,sma       ,1
11,2,Gang nood,gan       ,1
12,2,Klantenrestaurant,kla       ,1
13,2,Personeelsrestaurant,perA      ,1
14,2,Rookruimte,roo       ,1
15,2,Gang bij klantentoiletten,ganb      ,1
16,2,Kantoor keuken,kan       ,1
17,2,Sweden shop,swe       ,1
19,2,Sweden shop magazijn,swes      ,1
20,2,Bistro counter,bis       ,1
21,2,Bistro eetgedeelte,bise      ,1
22,2,EHBO ruimte,ehb       ,1
23,2,Was- en kleedruimten personeel,wasklepers,1
24,2,Entree draaideur,dra       ,1
25,2,Entree hal,ent       ,1
26,2,Winkelwagenruimte Market hall,wwruimteMH,1
27,2,Lift naar showroom,lif       ,1
28,2,Entreegebied showroom,ents      ,1
29,2,Showroom,sho       ,1
30,2,Market hall,mar       ,1
31,2,Entreegebied Market hall,entm      ,1
32,2,Trappen naar Market hall,tra       ,1
33,2,Magazijn zelfbediening,zel       ,1
34,2,Kassagebied,kas       ,1
36,2,Wachtruimte Customer Service,wac       ,1
37,2,Uitgangsgebied,uit       ,1
38,2,Winkelwagenruimte entreegebied,wentree   ,1
39,2,Vergaderruimten,ver       ,1
40,2,Receptie,rec       ,1
41,2,Kantoor Customer Service,kanCS     ,1
42,2,Personeelsingang,perAA     ,1
43,2,Gang keukenpersoneel,gank      ,1
44,2,Goederenontvangst Customer Service,ganCS     ,1
45,2,Roltrappen,roltr     ,1
46,2,Liften,lifA      ,1
47,2,Werkruimte schoonmaak,wer       ,1
48,2,Magazijn,mag       ,1
49,2,Goederenontvangst,goeA      ,1
50,2,Kantoor goederenstroom,kang      ,1
51,2,Montageruimte,mon       ,1
52,2,Magazijn retouren,magret    ,1
53,2,IT ruimte,it        ,1
54,2,Trappen nood,noodtr    ,1
55,4,Aula,Aul       ,1
56,4,Bureaukamer,Bur       ,1
57,4,Doucheruimte,Dou       ,1
58,4,Entrée,Ent       ,1
59,4,Gang,Gan       ,1
60,4,Gym/-sportzaal,Gym       ,1
61,4,Hal,Hal       ,1
62,4,Handenarbeid,Han       ,1
63,4,Kelderbox,Kel       ,1
64,4,Keuken/pantry,Keu       ,1
65,4,Kleedruimte,Kle       ,1
66,4,Leslokaal,Les       ,1
67,4,Lift,Lif       ,1
68,4,Personeelsruimte,Per       ,1
69,4,Restaurant,Res       ,1
70,4,Speellokaal,Spe       ,1
71,4,Toilet,Toi       ,1
72,4,Trap-Trappenhuis,Tra       ,1
73,4,Vergader/spreekruimte,Ver       ,1
74,4,Wasruimte,Was       ,1
78,2,Toiletten heren personeel,toilherper,1
79,2,Gangen personeelsgebied,gpers     ,1
82,2,Werkruimte Comm&In,wci       ,1
83,2,Trappen personeelsingang,tperi     ,1
84,2,"Kantoorgebied (Staff, Comm&In)",kanSCI    ,1
85,2,Gangen personeelsrestaurant,ganpr     ,1
86,2,Winkelwagenruimte magazijn zelfbediening,wmz       ,1
89,4,Ontvangst-/ wachtruimte,Ont       ,1
90,4,Repro-/printruimte,Rep       ,1
91,4,Garderobe,Gar       ,1
1095,4,Bibliotheek,Bib       ,1
1111,4,Buitenbordes,Bui       ,1
1112,4,Pompruimte,Pom       ,1
1113,4,Werkplaats,Wer       ,1
1114,4,Besturingsruimte,Bes       ,1
1115,4,Zaal,za        ,1
1116,4,Zwembad,zie       ,1
1117,4,Fitness,fit       ,1
1118,4,Wellness,wel       ,1
1119,4,Behandel- onderzoek,beh       ,1
1120,4,OK,ok        ,1
1121,4,Praktijklokaal,Pro       ,1
1122,4,Lab- onderzoek ruimte,lab       ,1
1123,4,Groepsruimte,gro       ,1
1124,4,Paskamer,psk       ,1
1125,4,Logistiek,Log       ,1
1126,4,Datacentre,Dat       ,1
1127,4,Kantine,Knt       ,1
1128,4,Parkeerterrein,par       ,1
1129,4,Rookruimte,rk        ,1
1130,4,Fietsenstalling,Fst       ,1
1131,4,Telefoonkast,Tk        ,1
1132,4,Meting room,Mtr       ,1
1133,4,Productieruimte,pr        ,1
1134,4,Representatieve ruimte,rp        ,1
